DATA;HORA;MUSICA
01/08/2024;17:00;LAUANA PRADO - VIVA VOZ
01/08/2024;17:00;BELO - DESSE JEITO NÃO DA PARA MIM & REINVENTAR
01/08/2024;17:00;GUSTAVO MIOTO - VOLTANDO PRA MIM
01/08/2024;17:00;MAIARA E MARAISA - A CULPA É NOSSA
01/08/2024;17:00;MANU BAHTIDÃO  SIMONE MENDES - DAQUI PRA SEMPRE
01/08/2024;17:00;HENRIQUE E JULIANO - LIBERDADE PROVISÓRIA
01/08/2024;17:20;SORRISO MAROTO feat THIAGUINHO - PROMESSAS
01/08/2024;17:20;ZÉ NETO & CRISTIANO - UM MÊS E POUCO
01/08/2024;17:20;WESLEY SAFADÃO - AMOR OU ESQUEMA
01/08/2024;17:20;JEFFERSON MORAES - PÉSSIMA HORA
01/08/2024;17:20;ISRAEL & RODOLFFO  MARI FERNANDEZ - SEU BRILHO SUMIU
01/08/2024;17:20;DILSINHO feat VITOR KLEY - CAFEINA
01/08/2024;17:20;ANA CASTELA - SOLTEIRO FORÇADO
01/08/2024;17:40;SORRISO MAROTO feat THIAGUINHO - PROMESSAS
01/08/2024;17:40;JOÃO GOMES - CORACAO VAQUEIRO
01/08/2024;17:40;JORGE E MATEUS - ENTÃO VALEU
01/08/2024;17:40;MILANE HORA - SEM VOCÊ
01/08/2024;17:40;SORRISO MAROTO feat THIAGUINHO - PROMESSAS
01/08/2024;18:00;FELIPE AMORIM - AMOR PARA RECOMEÇAR
01/08/2024;18:00;MARI FERNANDEZ - DIZEM QUE SOU LOUCA
01/08/2024;18:00;DILSINHO feat ANA CASTELA - PASSANDO A MÃO
01/08/2024;18:00;MARÍLIA MENDONÇA - VIRA HOMEM
01/08/2024;18:00;MANIM VAQUERIO - FORRÓ E DESMANTELO
01/08/2024;18:00;DIEGO FACO - GIN DE FRUTA (REMIX)
01/08/2024;18:20;TRAVA VEIA - COLO DE MENINA
01/08/2024;18:20;SIMONE MENDES - MEU PRA SEMPRE NÃO ERA MEU
01/08/2024;18:20;MAIARA E MARAÍSA - AMANDO O INIMIGO
01/08/2024;18:20;MATHEUS E KAUAN - CONSÓRCIO
01/08/2024;18:20;WESLEY SAFADÃO - AGORA É PRA VALER
01/08/2024;18:20;MARÍLIA MENDONÇA - LEÃO
01/08/2024;18:20;ANA CASTELA - AQUI TEM ALGUÉM
01/08/2024;18:40;MURILO HUFF  ERIC LAND - CURIOSA
01/08/2024;18:40;HENRY FREITAS - NÃO ERA VOCÊ
01/08/2024;18:40;ZÉ NETO E CRISTIANO - CADEIRA DE AÇO
01/08/2024;18:40;HENRIQUE E JULIANO - CUIDA BEM DELA
01/08/2024;18:40;HENRIQUE CASTRO feat MARÍLIA MENDONÇA - EXPERIÊNCIA
01/08/2024;18:40;JORGE E MATEUS - SE EU CHORAR
01/08/2024;19:00;SORRISO MAROTO feat THIAGUINHO - PROMESSAS
01/08/2024;19:00;ISRAEL & RODOLFFO ft. ANA CASTELA - BOMBONZINHO
01/08/2024;19:00;GUSTTAVO LIMA  MURILO HUFF - CEP NOVO
01/08/2024;19:00;MARI FERNADEZ - SEM EXPLICAÇÃO
01/08/2024;19:00;MATHEUS E KAUAN - QUARTA CADEIRA
01/08/2024;19:00;GUSTTAVO LIMA - OS CORAÇÕES NÃO SÃO IGUAIS
01/08/2024;19:20;MARI FERNANDEZ - VAI VIVER
01/08/2024;19:20;CAVALEIROS DO FORRÓ - UMA ESTRELA UM SOL
01/08/2024;19:20;GUSTTAVO LIMA  MARI FERNANDEZ - 30 CADEADOS
